7190JDY,columna_1,columna_2,columna_3,columna_4,X,columna_6,columna_7,OTROS,8,OTROS AUTORIZADOS,CANCELADO,2024-03-31 00:00:00,columna_13,4,HÍBRIDO
1451LDY,AYVENS,1,RENTING,DEVUELTO,2025-01-30,7,DIESEL,OPEL,GRANDLAND X 1.5 CDTI 130 CV AUTO,1001,AVSA,0,,COMPLETO,
6997LLV,AYVENS,1,RENTING,DEVUELTO,2025-02-08,7,DIESEL,PEUGEOT,PARTNER 1.5 HDI 98 CV,1001,AVSA,0,,,
9377LMG,AYVENS,1,RENTING,DEVUELTO,2025-03-05,7,DIESEL,PEUGEOT,PARTNER 1.5 HDI 98 CV,1001,AVSA,0,,,
CAE500200,2042MSX,X,,,,X,X,,MALCO,3,ALQUILER,DEVUELTO,,,
CAE500201,2056MSX,X,,,,X,X,,MALCO,3,ALQUILER,DEVUELTO,,,
3942LLT,AYVENS,1,RENTING,DEVUELTO,2025-01-28,7,GASOLINA,SEAT,ARONA 1.0 TSI 115 CV,1004,G.O.MEDIOAMBIENTE S.L.,,,Ficha tecnica,
8767LLW,AYVENS,1,RENTING,DEVUELTO,2025-02-11,7,DIESEL,PEUGEOT,PARTNER 1.5 HDI 98 CV,1004,G.O.MEDIOAMBIENTE S.L.,,,Condiciones /acta devolucion,
9850JTR,AYVENS,1,RENTING,DEVUELTO,,7,,OPEL,MOVANO 2.3 CDTI 130 CV,1490,EMPRESA MIXTA CALPE,RENOV.2016,,,DIESEL
