ID_CAE;CONTRATO;ACTA_ENTREGA;ACTA_DEVOLUCION;BAJA;FICHA_TECNICA;PERMISO_CIRCULACION;IVTM;FACTURA_VEHICULO_NUEVO;MATRICULA_ANTIGUA;MARCA_ANTIGUO;MODELO_ANTIGUO;COMBUSTIBLE_ANTIGUO;CATEGORIA_ANTIGUO;COMPANIA_PROVEEDOR;TIPO_CONTRATO;SITUACION_CONTRATO;F_VIG_INICIO;F_VIG_FINAL;TIEMPO_PROP_DIAS;ANIO_BAJA;MATRICULA_NUEVA;MARCA_NUEVO;MODELO_NUEVO;COMBUSTIBLE_NUEVO;CATEGORIA_NUEVO;FECHA_ALTA;CHASIS_BASTIDOR;COD_SOCIEDAD;SOCIEDAD;COMUNIDAD_AUTONOMA;CVA;F;CVN;L;AE;CVA_REF_ANEXO_II;F_REF_FICHA;CVN_REF_ANEXO_II;L_REF_ANEXO_III;TIPOLOGIA_ANEXO_II;MISMA_CATEGORIA;MISMO_COMBUSTIBLE;NIVEL;DESFASE_DIAS;ESTADO_POSESION;ACCION_PENDIENTE
2023-001;X;X;X;;X;X;;X;5875KPY;FIAT;FIORINO 1.3 MULTIJET 80 CV;DIESEL;Furgoneta/Furgón;NORTHGATE;ALQUILER_CORTA_DURACION;DEVUELTO;2023-02-01;2023-06-30;149;2023;0767MJM;PEUGEOT;E-PARTNER PRO 100 KW;ELECTRICO;Furgoneta/Furgón;2023-07-19;VR3EAZKXZPJ701046;1505;CGAC;Cataluña;;;;;;5.63;10.0;20.84;15815;N1;IGUAL;DISTINTO;C_CONDICIONADO;-19;DEFENDIBLE;"posesion solo defendible por antiguedad: aportar contratos previos; REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con NORTHGATE. El contrato solo cubre 149d, por debajo de los 730d exigidos; la pareja se sostiene unicamente contando 1716d desde la matriculacion. COMPROBAR con doble motivo: hay que reconstruir con contratos la cadena completa de posesion, porque a dia de hoy lo unico documentado es la antiguedad del vehiculo, no que lo tuviera el solicitante"
2023-002;;;;;X;X;;X;T5455BB;FORD;TRANSIT 1.8 TDCI 80 CV;DIESEL;Furgoneta/Furgón;PROPIEDAD;PROPIEDAD;CANCELADO;1999-01-01;2023-03-09;8833;2023;1666MGR;OPEL;VIVARO E-FURGON;ELECTRICO;Furgoneta/Furgón;2023-04-27;VXEV1ZKXZPZ019578;1505;CGAC;Cataluña;;;;;;5.63;10.0;20.84;15815;N1;IGUAL;DISTINTO;A_ACREDITADO;-49;ACREDITADA;Documentacion en carpeta y reglas verificadas con documento
2023-003;X;;X;;;;;X;5949LLV;PEUGEOT;PARTNER 1.5 HDI 98 CV;DIESEL;Furgoneta/Furgón;AYVENS;RENTING;DEVUELTO;2021-03-08;2023-04-08;761;2023;1667MGR;OPEL;VIVARO E-FURGON;ELECTRICO;Furgoneta/Furgón;2023-04-26;VXEV1ZKXZPZ019580;1505;CGAC;Cataluña;;;;;;5.63;10.0;20.84;15815;N1;IGUAL;DISTINTO;A_ACREDITADO;-18;ACREDITADA;Documentacion en carpeta y reglas verificadas con documento
2023-004;X;X;X;;;;;X;6586KPD;OPEL;COMBO 1.3 CDTI 95 CV;DIESEL;Furgoneta/Furgón;AYVENS;RENTING;DEVUELTO;2018-09-12;2023-10-26;1870;2023;2076MJP;RENAULT;KANGOO VAN E-TECH;ELECTRICO;Furgoneta/Furgón;2023-07-25;VF1RFK00370927245;1505;CGAC;Cataluña;;;;;;5.63;10.0;20.84;15815;N1;IGUAL;DISTINTO;A_ACREDITADO;93;ACREDITADA;Documentacion en carpeta y reglas verificadas con documento
2023-005;X;X;X;;X;X;;X;4535KFH;PEUGEOT;PARTNER 1.6 HDI 75 CV;DIESEL;Furgoneta/Furgón;NORTHGATE;ALQUILER_CORTA_DURACION;DEVUELTO;2023-02-01;2023-09-19;230;2023;2120MFK;RENAULT;KANGOO VAN E-TECH;ELECTRICO;Furgoneta/Furgón;2023-07-25;VF1RFK00970687019;1505;CGAC;Cataluña;;;;;;5.63;10.0;20.84;15815;N1;IGUAL;DISTINTO;C_CONDICIONADO;56;DEFENDIBLE;"posesion solo defendible por antiguedad: aportar contratos previos; REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con NORTHGATE. El contrato solo cubre 230d, por debajo de los 730d exigidos; la pareja se sostiene unicamente contando 2135d desde la matriculacion. COMPROBAR con doble motivo: hay que reconstruir con contratos la cadena completa de posesion, porque a dia de hoy lo unico documentado es la antiguedad del vehiculo, no que lo tuviera el solicitante; la fecha de alta del Excel contradice a la factura: decidir cual vale"
2023-006;;;X;;;;;X;6994KGK;PEUGEOT;208 1.2 82 CV;GASOLINA;Turismo;AYVENS;ALQUILER_CORTA_DURACION;DEVUELTO;2021-09-07;2023-12-01;815;2023;5566KSD;RENAULT;ZOE 40;ELECTRICO;Turismo;2023-12-22;VF1AG000861226255;1004;G.O.MEDIOAMBIENTE S.L.;Comunidad Valenciana;;;;;;7.89;9.19;17.92;13073;M1;IGUAL;DISTINTO;C_CONDICIONADO;-21;ACREDITADA;"REGIMEN_A_VERIFICAR: el Excel etiqueta el contrato como 'ALQUILER_CORTA_DURACION' con AYVENS. Se admite porque el propio contrato cubre 815d, por encima de los 730d exigidos: lo que decide es el periodo de posesion, no como se llame el contrato. COMPROBAR en el contrato que ese periodo es continuado y no una sucesion de alquileres con interrupciones; la fecha de alta del Excel contradice a la factura: decidir cual vale"
2023-007;X;;;;;;;;1751LHM;VOLKSWAGEN;T-ROC 1.6 TDI 115 CV;DIESEL;Turismo;VWRENTING;RENTING;DEVUELTO;2020-07-02;2023-08-31;1155;2023;8873KDN;RENAULT;ZOE 40;ELECTRICO;Turismo;2023-11-01;;1009;GAMASER;;;;;;;6.99;10.0;17.92;13073;M1;IGUAL;DISTINTO;B_INDICIO;-62;ACREDITADA;"confirmar fecha de adquisicion con factura o permiso de circulacion; confirmar fecha de baja con el documento de entrega; aportar acta de devolucion firmada; solicitar carpeta documental del vehiculo nuevo"
