columna_0,ID CAE,Matricula,TIPO VEHÍCULO,COMBUSTIBLE,Columna4,Columna5,Contrato,Acta de Entrega,Acta Devolución,BAJA,Ficha Técnica,Permiso de Circulación,IVTM,Compañía/Proveedor,Cod.Tipo Contrato,Tipo Contrato,Situación Contrato,f Vig Inicio,F.Vig.Final,Fecha Devolución,Tiempo Prop,Año,Cod.Sit.Contrato,Combustible2,Marca,Modelo/Versión,Cod.Sociedad,Sociedad,Ceco.Imput,Columna1,Matricula nueva,Marca2,Modelo/Versión3,Combustible4,Ceco,Renov. Flota,Fecha Alta,Columna3,Cod.Sociedad5,Pedido,Sociedad6,Ceco imputado,Factura,Comunidad Autonoma,CHASIS/Bastidor,CVA,F3,CVN,L,AE,Columna2,Vacias,Tipo vehículo2,Tipo combustible,CVA2,f2,CVN2,L2,AE [kWh],Comprobación,Comprobación 2,f23,CVN22,L23,columna_65
66.0,CAE500104,5249MGJ,M1,DIESEL,DIESEL,M1,X,,,,x,x,,AYVENS,3,ALQUILER,DEVUELTO,2023-10-03,2024-03-31,2023-12-21,180,2024,7,DIESEL,OPEL,CORSA 1.5 D 100 CV,1505,CGAC,355589,14,8328MCZ,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725586,2023,2022-12-27,-1,1505,4500348764,CGAC,,X,CATALUÑA,VF1RFK00169330329,5.1,10,17.3,13073,4405.601000000001,M1,FALSO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
67.0,CAE500105,1918LMY,M1,DIESEL,DIESEL,M1,X,X,X,,x,x,,AYVENS,3,ALQUILER,DEVUELTO,2024-02-01,2024-03-07,2024-03-07,35,2024,7,DIESEL,OPEL,CORSA 1.5 D100 CV,1505,CGAC,725496,15,2043MJP,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725472,2023,2023-07-28,-1,1505,4500352342,CGAC,,X,CATALUÑA,VF1RFK00670693201,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
68.0,CAE500106,2258JPC,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,42527,2024-01-25,2024-02-08,2789,2024,7,DIESEL,OPEL,COMBO 1.3 CDTI 90 CV,1505,CGAC,205335,16,2062MJP,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725441,2023,2023-07-28,-1,1505,4500370369,CGAC,,X,CATALUÑA,VF1RFK00370927200,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
69.0,CAE500107,0290JLY,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,42445,2023-03-16,2023-10-24,2556,2023,7,DIESEL,OPEL,COMBO 1.3 CDTI 90 CV,1400,EGEVASA,208405,4,3191MXJ,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,208356,2024,2024-12-23,1,1400,4500426875,EGEVASA,,X,COMUNIDAD VALENCIANA,VF1RFK00973824863,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
70.0,CAE500108,9094KRJ,N1,DIESEL,DIESEL,N1,X,X,X,,x,x,,AYVENS,1,RENTING,DEVUELTO,43415,2024-03-05,2024-03-05,1941,2024,7,DIESEL,OPEL,COMBO 1.3 CDTI 95 CV,1505,CGAC,205324,17,8623MCZ,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725565,2023,2022-12-27,-1,1505,4500348261,CGAC,,X,CATALUÑA,VF1RFK00870026503,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
71.0,CAE500109,6586KPD,N1,DIESEL,DIESEL,N1,X,X,X,,x,x,,AYVENS,1,RENTING,DEVUELTO,43355,2023-09-12,2023-10-26,1826,2023,7,DIESEL,OPEL,COMBO 1.3 CDTI 95 CV,1505,CGAC,725468,18,8868KDN,RENAULT,ZOE 40,ELECTRICO,725586,2023,2017-10-11,0,1505,4500352582,CGAC,,X,CATALUÑA,VF1AGVYC058921527,5.6,10,13.3,15815,6753.005000000001,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
72.0,CAE500110,7960KHZ,M1,DIESEL,DIESEL,M1,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43172,2023-03-13,2023-02-07,1826,2023,7,DIESEL,OPEL,CORSA 1.3 CDTI 75 CV 5P,1200,EMIVASA,12009060,6,0210MWZ,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,100011,2024,2024-12-11,1,1200,4500424902,EMIVASA,,X,COMUNIDAD VALENCIANA,VR7CBZYA5RT153037,5.1,10,16.4,13073,4523.258000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
73.0,CAE500111,8288KJX,M1,DIESEL,DIESEL,M1,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43213,2023-04-23,2023-02-07,1826,2023,7,DIESEL,OPEL,CORSA 1.3 CDTI 75 CV 5P,1066,CANALIZ. CIVILES S.A.,356018,6,6033MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,10669100,2024,2024-11-29,1,1066,4500424801,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VR7CBZYAXRT152210,5.1,10,16.4,13073,4523.258000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
74.0,CAE500112,0426KHR,M1,DIESEL,DIESEL,M1,X,,X,,x,x,,AYVENS,1,RENTING,DEVUELTO,43160,2023-03-01,2023-02-08,1826,2023,7,DIESEL,OPEL,CORSA 1.3 CDTI 75 CV 5P,1001,AVSA,10019060,16,2704MXG,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,200599,2024,2024-12-19,1,1001,4500426846,AVSA,,X,COMUNIDAD VALENCIANA,VF1RFK00073934278,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
75.0,CAE500113,2825KMP,M1,DIESEL,DIESEL,M1,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43312,2024-02-01,2024-02-01,2011,2024,7,DIESEL,OPEL,CORSA 1.3 CDTI 75 CV 5P,1066,CANALIZ. CIVILES S.A.,356001,7,8637MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,356006,2024,2024-11-29,0,1066,4500426776,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VF1RFK00973824815,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
