columna_0,ID CAE,Matricula,TIPO VEHÍCULO,COMBUSTIBLE,Columna4,Columna5,Contrato,Acta de Entrega,Acta Devolución,BAJA,Ficha Técnica,Permiso de Circulación,IVTM,Compañía/Proveedor,Cod.Tipo Contrato,Tipo Contrato,Situación Contrato,f Vig Inicio,F.Vig.Final,Fecha Devolución,Tiempo Prop,Año,Cod.Sit.Contrato,Combustible2,Marca,Modelo/Versión,Cod.Sociedad,Sociedad,Ceco.Imput,Columna1,Matricula nueva,Marca2,Modelo/Versión3,Combustible4,Ceco,Renov. Flota,Fecha Alta,Columna3,Cod.Sociedad5,Pedido,Sociedad6,Ceco imputado,Factura,Comunidad Autonoma,CHASIS/Bastidor,CVA,F3,CVN,L,AE,Columna2,Vacias,Tipo vehículo2,Tipo combustible,CVA2,f2,CVN2,L2,AE [kWh],Comprobación,Comprobación 2,f23,CVN22,L23,columna_65
86.0,CAE500126,2316KZH,M1,DIESEL,DIESEL,M1,X,X,,,X,X,,AYVENS,1,RENTING,CANCELADO POR SINIESTRO,43685,2024-08-08,2024-12-13,1827,2024,6,DIESEL,OPEL,CROSSLAND X 1.5 CDTI 102 CV,1591,EMP.MUN.SERVEIS PUBLICS,201591,1,1428KDP,RENAULT,ZOE 40,ELECTRICO,201591,2023,2017-10-11,-1,1591,4500349877,EMP.MUN.SERVEIS PUBLICS,,,CATALUÑA,VF1AGVYC059144786,5.1,10,13.3,13073,4928.521,M1,FALSO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
87.0,CAE500127,6909MPH,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-06-04,2024-08-12,2024-08-12,69,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,725498,25,8597MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,205571,2024,2024-11-29,0,1505,4500426784,CGAC,,X,CATALUÑA,VF1RFK00973824801,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
88.0,CAE500128,6937MPH,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-06-04,2024-08-12,2024-08-12,69,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,725498,26,8601MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,205335,2024,2024-11-29,0,1505,4500426757,CGAC,,X,CATALUÑA,VF1RFK00073824783,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
89.0,CAE500129,7017MPH,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-06-04,2024-08-12,2024-08-12,69,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,725498,27,8603MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,205335,2024,2024-11-29,0,1505,4500426788,CGAC,,X,CATALUÑA,VF1RFK00673824805,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
90.0,CAE500130,6901MPH,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-06-04,2024-12-30,2024-12-30,209,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,725498,28,8617MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,205327,2024,2024-11-29,0,1505,4500426773,CGAC,,X,CATALUÑA,VF1RFK00573824794,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
91.0,CAE500131,8497MPH,N1,DIESEL,DIESEL,N1,X,,,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2024-08-01,2024-12-31,2025-03-24,152,2024,7,DIESEL,RENAULT,EXPRESS 1.5 DCI 95 CV,1505,CGAC,355470,29,8618MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,205567,2024,2024-11-29,0,1505,4500426845,CGAC,,X,CATALUÑA,VF1RFK00X73824807,5.6,10,17.3,15815,6120.405,N1,FALSO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
92.0,CAE500132,5875KPY,N1,DIESEL,DIESEL,N1,X,X,X,,x,x,,NORTHGATE,3,ALQUILER,DEVUELTO,2023-02-01,2023-06-30,2023-06-30,149,2023,7,DIESEL,FIAT,FIORINO 1.3 MULTIJET 80 CV,1505,CGAC,725485,30,2340MGR,OPEL,VIVARO E-FURGON,ELECTRICO,725465,2023,2023-05-05,0,1505,4500351860,CGAC,,X,CATALUÑA,VXEV1ZKXZPZ019575,5.6,10,28.1,15815,4412.384999999999,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
93.0,CAE500133,0360KLY,N1,DIESEL,DIESEL,N1,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-12-22,2024-01-30,2024-01-30,39,2024,7,DIESEL,RENAULT,KANGOO,1021,MEDICION AVANZADA CONTAD.,357712,10,0693MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357706,2024,2024-11-29,0,1021,4500426790,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00873824837,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
94.0,CAE500134,0824MCY,M1,DIESEL,DIESEL,M1,X,X,,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-02-17,2023-05-11,2023-05-11,83,2023,7,DIESEL,SKODA,KAROQ 2.0 TDI 150 CV DSG,1505,CGAC,205051,31,0800MJM,PEUGEOT,E-PARTNER PRO 100 KW,ELECTRICO,725455,2023,2023-07-26,0,1505,4500370224,CGAC,,X,CATALUÑA,VR3EAZKXZPJ701039,5.1,10,22.7,13073,3699.6590000000006,M1,FALSO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
95.0,CAE500136,2653LTG,M1,DIESEL,DIESEL,M1,X,X,X,,x,x,,AYVENS,3,ALQUILER,DEVUELTO,2024-05-08,2024-06-07,2024-06-07,30,2024,7,DIESEL,SEAT,LEON 2.0 TDI,1004,G.O.MEDIOAMBIENTE S.L.,900074,6,6439MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200101,2024,2024-11-29,0,1004,4500424787,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VR7CBZYA6RT152219,5.1,10,16.4,13073,4523.258000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
96.0,CAE500137,3452LZP,N1,DIESEL,DIESEL,N1,X,,X,,X,X,,TLM,3,ALQUILER,DEVUELTO,2022-10-27,2023-02-07,2023-02-07,103,2023,7,DIESEL,RENAULT,MASTER L2H2 2.3 DCI 135 CV,1066,CANALIZ. CIVILES S.A.,356016,9,0682MWF,NISSAN,TOWNSTAR,ELECTRICO,356001,2024,2024-11-12,1,1066,4500421017,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VNVNFK00171491645,5.6,10,20,15815,5693.4,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
97.0,CAE500138,6529LTJ,M1,DIESEL,DIESEL,M1,X,X,X,,x,x,,AYVENS,3,ALQUILER,DEVUELTO,2024-02-28,2024-04-24,2024-04-24,56,2024,7,DIESEL,RENAULT,MEGANE DCI 115 CV,1004,G.O.MEDIOAMBIENTE S.L.,10049946,7,3116MXJ,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,724362,2024,2024-12-23,0,1004,4500426850,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VF1RFK00673934284,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
98.0,CAE500139,0289LJZ,M1,DIESEL,DIESEL,M1,X,,X,,x,x,,AYVENS,3,ALQUILER,DEVUELTO,2024-05-10,2024-06-30,2024-07-05,51,2024,7,DIESEL,RENAULT,MEGANE DCI 115 CV,1064,AYWA SER.AMBIENTALES SL,DEFINIR,2,3103MXJ,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,10649080,2024,2024-12-23,0,1064,X,AYWA SER.AMBIENTALES SL,,X,COMUNIDAD VALENCIANA,VF1RFK00373934288,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
99.0,CAE500141,9763LDB,M1,DIESEL,DIESEL,M1,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43819,2023-12-20,2024-03-20,1461,2023,7,DIESEL,OPEL,GRANDLAND X 1.5 CDTI 130 CV,1001,AVSA,10019700,17,2732MWP,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,10019060,2024,2024-11-26,1,1001,4500424775,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA6RT152186,5.1,10,16.4,13073,4523.258000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
100.0,CAE500143,9504LDD,M1,DIESEL,DIESEL,M1,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43819,2024-12-20,2025-05-21,1827,2024,7,DIESEL,OPEL,GRANDLAND X 1.5 CDTI 130 CV,1001,AVSA,10019931,18,6097MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200300,2024,2024-11-29,0,1001,4500424813,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA1RT152192,5.1,10,16.4,13073,4523.258000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
101.0,CAE500144,9106LCH,M1,DIESEL,DIESEL,M1,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43803,2023-12-27,2023-12-27,1484,2023,7,DIESEL,OPEL,GRANDLAND X 1.5 CDTI 130 CV,1505,CGAC,15059580,33,2076MJP,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725441,2023,2023-07-28,0,1505,4500370370,CGAC,,X,CATALUÑA,VF1RFK00370927245,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
102.0,CAE500145,3447KFH,N1,DIESEL,DIESEL,N1,X,X,X,,x,x,,NORTHGATE,3,ALQUILER,DEVUELTO,2023-02-01,2023-09-19,2023-09-19,230,2023,7,DIESEL,NISSAN,NV 200 1.5 DCI 90 CV,1505,CGAC,725485,34,8697MCZ,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725586,2023,2022-12-27,0,1505,4500348765,CGAC,,X,CATALUÑA,VF1RFK00869330327,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
103.0,CAE500147,5682FHK,N1,DIESEL,DIESEL,N1,,,,X,X,X,X,PROPIEDAD,5,PROPIEDAD,CANCELADO,2013-12-30,2023-02-14,2023-02-14,3333,2023,4,DIESEL,NISSAN,INTERSTAR,1066,CANALIZ. CIVILES S.A.,356011,10,6005MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,356001,2024,2024-11-29,1,1066,4500424804,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VR7CBZYA1RT152211,5.6,10,16.4,15815,6262.740000000001,N1,CORRECTO PROPIEDAD,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
104.0,CAE500148,1947LMM,N1,DIESEL,DIESEL,N1,X,X,X,,x,x,,NORTHGATE,3,ALQUILER,DEVUELTO,2023-04-01,2023-09-19,2023-09-19,171,2023,7,DIESEL,NISSAN,NV250 1.5 DCI L1H1 95 CV,1505,CGAC,725485,35,8867KDN,RENAULT,ZOE 40,ELECTRICO,725565,2023,2017-10-10,0,1505,4500350425,CGAC,,X,CATALUÑA,VF1AGVYC058921493,5.6,10,13.3,15815,6753.005000000001,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
105.0,CAE500149,9977LLM,M1,DIESEL,DIESEL,M1,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44244,2025-02-17,2025-04-24,1461,2025,7,DIESEL,RENAULT,KANGOO 1.5 DCI 95 CV KOMBI,1004,G.O.MEDIOAMBIENTE S.L.,354093,8,6559MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,724358,2024,2024-11-29,-1,1004,4500425488,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VR7CBZYA2RT153044,5.6,10,16.4,15815,6262.740000000001,N1,CORRECTO ALQUILER,DISTINTO,IGUAL,6.99,10,17.92,13073,6795.3454,Pone M/G,,IGUAL,DISTINTO,DISTINTO,
106.0,CAE500150,3595KDF,N1,DIESEL,DIESEL,N1,X,X,X,,x,x,,NORTHGATE,3,ALQUILER,DEVUELTO,2023-02-01,2023-06-30,2023-07-04,149,2023,7,DIESEL,PEUGEOT,PARTNER 1.6 HDI 75 CV,1505,CGAC,725485,36,2343MGR,OPEL,VIVARO E-FURGON,ELECTRICO,725485,2023,2023-05-05,0,1505,4500352577,CGAC,,X,CATALUÑA,VXEV1ZKXZPZ019576,5.6,10,28.1,15815,4412.384999999999,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
107.0,CAE500151,5919LKM,M1,DIESEL,DIESEL,M1,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44140,2024-11-05,2025-06-04,1461,2024,7,DIESEL,SEAT,LEON 1.6 TDI 115 CV,1001,AVSA,200783,19,6055MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200590,2024,2024-11-29,0,1001,4500424803,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYAXRT152188,5.1,10,16.4,13073,4523.258000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
108.0,CAE500152,7229LKV,M1,DIESEL,DIESEL,M1,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44151,2024-11-16,2025-06-23,1461,2024,7,DIESEL,SEAT,LEON 1.6 TDI 115 CV,1001,AVSA,200738,20,6084MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200542,2024,2024-11-29,0,1001,4500424818,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA5RT152194,5.1,10,16.4,13073,4523.258000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
109.0,CAE500153,5996LKM,M1,DIESEL,DIESEL,M1,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44140,2024-11-05,2025-05-22,1461,2024,7,DIESEL,SEAT,LEON 1.6 TDI 115 CV,1066,CANALIZ. CIVILES S.A.,10669120,11,8647MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,10669105,2024,2024-11-29,0,1066,4500426761,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VF1RFK00173824808,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
110.0,CAE500154,0019LLR,M1,DIESEL,DIESEL,M1,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44223,2025-01-27,2025-04-01,1461,2025,7,DIESEL,SEAT,LEON 1.6 TDI 115 CV,1505,CGAC,15059580,37,8619MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,205359,2024,2024-11-29,-1,1505,4500426770,CGAC,,X,CATALUÑA,VF1RFK00873824790,5.1,10,17.3,13073,4405.601000000001,M1,CORRECTO ALQUILER,IGUAL,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,IGUAL,
111.0,CAE500155,4535KFH,N1,DIESEL,DIESEL,N1,X,X,X,,x,x,,NORTHGATE,3,ALQUILER,DEVUELTO,2023-02-01,2023-09-19,2023-09-19,230,2023,7,DIESEL,PEUGEOT,PARTNER 1.6 HDI 75 CV,1505,CGAC,725485,38,8675MCZ,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725586,2023,2022-12-27,0,1505,4500348763,CGAC,,X,CATALUÑA,VF1RFK00569907668,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
112.0,CAE500156,9191HTG,L3e,GASOLINA,GASOLINA,L,X,,,X,,X,X,PROPIEDAD,5,PROPIEDAD,CANCELADO,2013-09-27,2024-09-26,2024-09-26,4017,2024,4,GASOLINA,PIAGGIO,LIBERTY 125 CC,1021,MEDICION AVANZADA CONTAD.,357108,11,4000MWL,NISSAN,TOWNSTAR,ELECTRICO,357108,2024,2024-11-20,0,1021,4500423383,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VNVNFK00071492253,2.9,9.19,20,2831,188.28980999999987,L3e,FALSO PROPIEDAD,IGUAL,IGUAL,2.9,9.19,4.84,2831,617.4694099999999,,,IGUAL,DISTINTO,IGUAL,
113.0,CAE500157,0297JBF,L3e,GASOLINA,GASOLINA,L,X,,,X,X,X,,PROPIEDAD,5,PROPIEDAD,CANCELADO,2014-11-17,2024-10-14,2024-10-14,3619,2024,4,GASOLINA,PIAGGIO,LIBERTY 125 CC,1021,MEDICION AVANZADA CONTAD.,357706,12,4004MWL,NISSAN,TOWNSTAR,ELECTRICO,357708,2024,2024-11-20,0,1021,4500423228,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VNVNFK00571491972,2.9,9.19,20,2831,188.28980999999987,L3e,CORRECTO PROPIEDAD,IGUAL,IGUAL,2.9,9.19,4.84,2831,617.4694099999999,,,IGUAL,DISTINTO,IGUAL,
114.0,CAE500159,9244JFB,L3e,GASOLINA,GASOLINA,L,,,,X,X,X,,PROPIEDAD,5,PROPIEDAD,CANCELADO,2015-04-28,2024-09-23,2024-09-23,3436,2024,4,GASOLINA,PIAGGIO,LIBERTY 125 CC,1021,MEDICION AVANZADA CONTAD.,357706,13,0700MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357708,2024,2024-11-29,0,1021,4500426792,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00X73824841,2.9,9.19,17.3,2831,264.7268099999999,L3e,CORRECTO PROPIEDAD,IGUAL,IGUAL,2.9,9.19,4.84,2831,617.4694099999999,,,IGUAL,DISTINTO,IGUAL,
115.0,CAE500160,0305JBF,L3e,GASOLINA,GASOLINA,L,X,,,X,X,X,X,PROPIEDAD,5,PROPIEDAD,CANCELADO,2014-11-17,2024-09-26,2024-09-26,3601,2024,4,GASOLINA,PIAGGIO,LIBERTY 125 CC,1021,MEDICION AVANZADA CONTAD.,357706,14,0701MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,357706,2024,2024-11-29,0,1021,4500426840,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VF1RFK00573824844,2.9,9.19,17.3,2831,264.7268099999999,L3e,CORRECTO PROPIEDAD,IGUAL,IGUAL,2.9,9.19,4.84,2831,617.4694099999999,,,IGUAL,DISTINTO,IGUAL,
116.0,CAE500161,2042MSX,N1,DIESEL,DIESEL,N1,X,,,,X,X,,MALCO,3,ALQUILER,DEVUELTO,2024-09-06,2024-12-05,2024-12-05,90,2024,7,DIESEL,PEUGEOT,PARTNER 2024 STANDARD,1004,G.O.MEDIOAMBIENTE S.L.,200101,9,6444MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,204427,2024,2024-11-29,0,1004,4500424800,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VR7CBZYA4RT154440,5.6,10,16.4,15815,6262.740000000001,N1,FALSO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
117.0,CAE500162,2056MSX,N1,DIESEL,DIESEL,N1,X,,,,X,X,,MALCO,3,ALQUILER,DEVUELTO,2024-09-06,2024-12-05,1900-01-01,90,2024,7,DIESEL,PEUGEOT,PARTNER 2024 STANDARD,1004,G.O.MEDIOAMBIENTE S.L.,200101,10,6558MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,724361,2024,2024-11-29,0,1004,4500424799,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VR7CBZYA0RT153043,5.6,10,16.4,15815,6262.740000000001,N1,FALSO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
118.0,CAE500163,6994KGK,M1,GASOLINA,GASOLINA,M1,X,,X,,,,,AYVENS,3,ALQUILER,DEVUELTO,2021-09-13,2023-12-01,2023-12-01,809,2023,7,GASOLINA,PEUGEOT,208 1.2 82 CV,1004,G.O.MEDIOAMBIENTE S.L.,350468,11,1165MSX,NISSAN,TOWNSTAR,ELECTRICO,724557,2024,2024-07-10,1,1004,4500407445,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VNVNFK00671230883,5.1,9.19,20,13073,3512.584369999999,M1,FALSO ALQUILER,IGUAL,IGUAL,7.89,9.19,17.92,13073,7136.433042999999,,,IGUAL,DISTINTO,IGUAL,
119.0,CAE500164,2138CTS,N3,DIESEL,DIESEL,N3,,,,,,,,CEDIDO,6,"CEDIDO (por ayto, planta.",CANCELADO,45444,2024-06-01,2024-06-01,0,2024,4,DIESEL,IVECO,ML 180,1505,CGAC,725498,39,6398MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,355577,2024,2024-11-29,0,1505,4500424827,CGAC,,X,CATALUÑA,VR7CBZYA9RT152196,5.6,10,16.4,15815,6262.740000000001,N1,FALSO ALQUILER,DISTINTO,IGUAL,35,10,118.53,53508,123854.9676,,,IGUAL,DISTINTO,DISTINTO,
120.0,CAE500165,0351JWC,N1,DIESEL,DIESEL,N1,X,X,X,,x,X,,AYVENS,1,RENTING,DEVUELTO,42747,2023-08-31,2023-08-31,2422,2023,7,DIESEL,OPEL,MOVANO 2.3 CDTI 130 CV,1400,EGEVASA,14009609,9,3157MXJ,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,368540,2024,2024-12-23,1,1400,4500427622,EGEVASA,,X,COMUNIDAD VALENCIANA,VF1RFK00373824857,5.6,10,17.3,15815,6120.405,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
121.0,CAE500167,4450LLV,M1,DIESEL,DIESEL,M1,,X,X,,,,,VWRENTING,1,RENTING,DEVUELTO,44203,2025-01-07,2025-01-23,1461,2025,7,DIESEL,VOLKSWAGEN,MULTIVAN 2.0 TDI 198 CV,1001,AVSA,10019931,21,6271MXF,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,200599,2024,2024-12-19,-1,1001,4500426868,AVSA,,X,COMUNIDAD VALENCIANA,VF1RFK00173934256,5.6,10,17.3,15815,6120.405,N1,FALSO ALQUILER,DISTINTO,IGUAL,6.99,10,17.92,13073,6795.3454,,,IGUAL,DISTINTO,DISTINTO,
122.0,CAE500168,2675KGJ,M1,GASOLINA,GASOLINA,M1,X,,X,,,,,AYVENS,3,ALQUILER,DEVUELTO,2021-07-15,2023-10-31,2023-10-31,838,2023,7,GASOLINA,PEUGEOT,208 1.2 82 CV,1004,G.O.MEDIOAMBIENTE S.L.,350468,12,9605MMH,RENAULT,KANGOO VAN E-TECH,ELECTRICO,724378,2023,2023-12-22,0,1004,4500389150,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VF1RFK00770927247,5.1,9.19,17.3,13073,3865.5553699999987,M1,FALSO ALQUILER,IGUAL,IGUAL,7.89,9.19,17.92,13073,7136.433042999999,,,IGUAL,DISTINTO,IGUAL,
123.0,CAE500169,2678KGJ,M1,GASOLINA,GASOLINA,M1,X,,X,,,,,AYVENS,3,ALQUILER,DEVUELTO,2021-08-03,2023-11-03,2023-11-03,822,2023,7,GASOLINA,PEUGEOT,208 1.2 82 CV,1004,G.O.MEDIOAMBIENTE S.L.,350468,13,1108KHK,RENAULT,ZOE 40,ELECTRICO,724557,2024,2024-07-08,1,1004,4500408050,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VF1AGVYF059267966,5.1,9.19,13.3,13073,4388.475369999998,M1,FALSO ALQUILER,IGUAL,IGUAL,7.89,9.19,17.92,13073,7136.433042999999,,,IGUAL,DISTINTO,IGUAL,
124.0,CAE500170,4533JFF,M1,DIESEL,DIESEL,N1,X,,X,,,,,TLM,3,ALQUILER,DEVUELTO,2021-03-05,2023-02-09,2023-02-09,706,2023,7,DIESEL,PEUGEOT,BOXER 110 CV,1066,CANALIZ. CIVILES S.A.,10669101,12,5665MWP,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,10669100,2024,2024-11-26,1,1066,4500424795,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VR7CBZYA3RT152209,5.6,10,16.4,15815,6262.740000000001,N1,FALSO ALQUILER,DISTINTO,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
125.0,CAE500171,9305LMG,N1,DIESEL,DIESEL,N1,X,,X,,x,x,,AYVENS,1,RENTING,CANCELADO POR SINIESTRO,44263,2024-05-07,2024-05-07,1156,2024,6,DIESEL,PEUGEOT,PARTNER 1.5 HDI 98 CV,1053,ISG,355458,9,6126MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,355528,2024,2024-11-29,0,1053,4500424816,ISG,,X,COMUNIDAD VALENCIANA,VR7CBZYAXRT154443,5.6,10,16.4,15815,6262.740000000001,N1,CORRECTO ALQUILER,IGUAL,IGUAL,5.63,10,20.84,15815,5607.998999999999,,,IGUAL,DISTINTO,IGUAL,
